date,fwi,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,infsinx
2003-05-11,4.612661,41.73469,287.9955,27.2422,62.17064,1.329646,1.9152992
2003-05-12,4.359648,41.613663,287.6512,27.100086,55.021393,1.3752956,1.5984687
2003-05-13,4.3537445,41.543182,287.5907,27.009388,51.248764,1.4610097,1.5145293
2003-05-14,3.9313598,41.749855,288.25317,27.153234,54.013126,1.1870035,1.3647424
2003-05-15,4.096546,42.416523,290.12595,27.66219,59.14208,1.1789834,1.5276439
2003-05-16,3.8550963,42.345898,291.19022,27.54997,59.59718,1.1348277,1.3878347
2003-05-17,3.6037807,42.144714,291.70956,27.307049,52.098995,1.0980151,1.1611966
2003-05-18,3.4206474,42.05849,291.9499,27.192951,49.18689,0.9953152,1.0666928
2003-05-19,3.4281754,42.484547,293.4028,27.490757,57.10319,0.98262835,1.1347961
2003-05-20,3.5624752,42.588676,294.78784,27.506065,54.830227,1.0871651,1.1465261
2003-05-21,4.171699,43.508522,296.92792,28.20884,61.8626,1.2666631,1.5012547
2003-05-22,4.7669134,44.830013,299.95755,29.275997,70.75065,1.3665782,2.044625
2003-05-23,4.8099747,45.35933,301.66507,29.696852,67.28034,1.4111739,2.0293791
2003-05-24,4.7831206,45.59749,302.41882,29.902802,63.021008,1.4756012,1.9664437
2003-05-25,4.6913724,45.414932,302.55588,29.747255,59.056778,1.5319856,1.8123127
2003-05-26,5.0125875,45.517765,303.4405,29.852976,57.457565,1.6554015,2.028032
2003-05-27,5.019714,45.86814,304.55386,30.168255,55.941853,1.627735,1.9752942
2003-05-28,4.86378,45.47256,303.37564,29.932842,48.620705,1.6443214,1.7674642
2003-05-29,4.789719,45.87132,304.03812,30.235703,51.88955,1.7498916,1.6087364
2003-05-30,4.7569957,46.445263,305.65756,30.701761,56.371174,1.6956826,1.6346991
2003-05-31,5.006391,47.342144,307.64645,31.43342,61.980682,1.6849906,1.8507749
